"學校名稱","短校名"
"國立臺灣科技大學","國立臺灣科大"
"國立雲林科技大學","國立雲林科大"
"國立屏東科技大學","國立屏東科大"
"國立虎尾科技大學","國立虎尾科大"
"國立澎湖科技大學","國立澎湖科大"
"國立勤益科技大學","國立勤益科大"
"國立臺北護理健康大學","國立北護"
"國立臺中科技大學","國立臺中科大"
"國立臺北商業大學","國立北商"
"國立高雄科技大學","國立高雄科大"
"朝陽科技大學","朝陽科大"
"南臺學校財團法人南臺科技大學","南臺科大"
"崑山科技大學","崑山科大"
"嘉藥學校財團法人嘉南藥理大學","嘉南藥理大學"
"樹德科技大學","樹德科大"
"龍華科技大學","龍華科大"
"明新學校財團法人明新科技大學","明新科大"
"弘光科技大學","弘光科大"
"健行學校財團法人健行科技大學","健行科大"
"正修學校財團法人正修科技大學","正修科大"
"萬能學校財團法人萬能科技大學","萬能科大"
"建國科技大學","建國科大"
"聖約翰科技大學","聖約翰科大"
"嶺東科技大學","嶺東科大"
"中國科技大學","中國科大"
"中臺科技大學","中臺科大"
"台南家專學校財團法人台南應用科技大學","台南應用科大"
"光宇學校財團法人元培醫事科技大學","元培醫事科大"
"中華醫事科技大學","中華醫事科大"
"德明財經科技大學","德明財經科大"
"中華學校財團法人中華科技大學","中華科大"
"美和學校財團法人美和科技大學","美和科大"
"中州學校財團法人中州科技大學","中州科大"
"修平學校財團法人修平科技大學","修平科大"
"城市學校財團法人臺北城市科技大學","臺北城市科大"
"大華學校財團法人大華科技大學","大華科大"
"醒吾學校財團法人醒吾科技大學","醒吾科大"
"華夏學校財團法人華夏科技大學","華夏科大"
"致理學校財團法人致理科技大學","致理科大"
"和春技術學院","和春技術學院"
"亞東技術學院","亞東技術學院"
